index,prediction
0,244.02 centimetre
1,69.11 centimetre
2,221.75 centimetre
3,162.0 centimetre
4,43.14 inch
5,91.03 inch
6,44.87 centimetre
7,244.98 centimetre
8,21.28 inch
9,29.83 centimetre
10,360.56 gram
11,26.51 centimetre
12,14.76 centimetre
13,9.99 centimetre
14,6.99 centimetre
15,360.56 gram
16,16.87 kilogram
17,448.3 gram
18,317.07 watt
19,337.02 volt
20,26.51 centimetre
21,26.51 centimetre
22,217.97 millilitre
23,10.89 centimetre
24,33.33 centimetre
25,19.77 inch
26,81.02 inch
27,360.56 gram
28,360.56 gram
29,262.01 pound
30,313.54 gram
31,204.15 gram
32,4.5 inch
33,16.68 inch
34,15.65 inch
35,357.95 gram
36,244.98 centimetre
37,96.1 volt
38,86.19 watt
39,28.46 centimetre
40,91.43 centimetre
41,244.98 centimetre
42,4.69 inch
43,15.78 inch
44,166.87 inch
45,9.31 inch
46,10.33 inch
47,3.96 inch
48,35.84 centimetre
49,67.25 centimetre
50,65.59 centimetre
51,360.56 gram
52,86.19 watt
53,10.88 inch
54,10.54 inch
55,26.51 centimetre
56,360.56 gram
57,28.01 centimetre
58,92.55 centimetre
59,85.55 watt
60,96.1 volt
61,360.56 gram
62,244.98 centimetre
63,13.9 centimetre
64,26.51 centimetre
65,96.1 volt
66,362.52 gram
67,251.64 centimetre
68,6.35 centimetre
69,10.18 centimetre
70,15.08 centimetre
71,16.75 centimetre
72,36.4 centimetre
73,33.98 centimetre
74,64.4 watt
75,73.2 volt
76,10.11 inch
77,9.7 inch
78,294.84 gram
79,244.98 centimetre
80,360.56 gram
81,20.91 kilogram
82,67.86 kilogram
83,350.1 gram
84,9.01 inch
85,6.82 centimetre
86,8.9 inch
87,71.96 watt
88,64.98 volt
89,116.18 gram
90,42.19 centimetre
91,18.58 kilogram
92,40.02 centimetre
93,224.22 centimetre
94,352.64 gram
95,237.68 centimetre
96,25.63 centimetre
97,96.1 volt
98,120.55 centimetre
99,7.6 inch
100,88.3 inch
101,63.43 millilitre
102,88.3 watt
103,48.18 centimetre
104,109.85 centimetre
105,49.75 centimetre
106,15.92 centimetre
107,30.64 inch
108,350.63 gram
109,27.83 centimetre
110,40.85 centimetre
111,466.13 gram
112,81.81 watt
113,433.7 gram
114,367.29 gram
115,86.19 watt
116,95.96 gram
117,356.07 gram
118,22.88 centimetre
119,13.9 centimetre
120,351.58 gram
121,13.9 centimetre
122,294.75 gram
123,36.74 kilogram
124,376.35 gram
125,360.56 gram
126,12.0 volt
127,183.49 centimetre
128,49.83 centimetre
129,161.29 pound
130,38.79 centimetre
131,26.51 centimetre
132,244.98 centimetre
133,13.9 centimetre
134,39.15 kilogram
135,200.46 centimetre
136,161.34 centimetre
137,206.9 centimetre
138,15.65 centimetre
139,26.51 centimetre
140,13.9 centimetre
141,76.86 centimetre
142,13.9 centimetre
143,26.51 centimetre
144,13.9 centimetre
145,237.59 centimetre
146,22.88 centimetre
147,197.56 millilitre
148,46.76 centimetre
149,45.02 centimetre
150,360.56 gram
151,244.98 centimetre
152,11.4 inch
153,12.02 inch
154,17.5 centimetre
155,123.12 centimetre
156,25.82 millimetre
157,25.77 centimetre
158,244.98 centimetre
159,694.03 gram
160,244.98 centimetre
161,203.5 millilitre
162,245.14 centimetre
163,39.21 inch
164,350.28 gram
165,96.1 volt
166,86.19 watt
167,80.6 kilogram
168,17.54 centimetre
169,11.84 centimetre
170,360.56 gram
171,244.98 centimetre
172,357.0 gram
173,18.49 inch
174,163.72 inch
175,26.92 centimetre
176,314.71 gram
177,13.9 centimetre
178,88.68 pound
179,21.8 inch
180,12.21 inch
181,205.61 pound
182,30.64 inch
183,85.9 watt
184,96.1 volt
185,103.6 gram
186,26.51 centimetre
187,13.9 centimetre
188,32.22 inch
189,32.15 inch
190,360.56 gram
191,42.62 centimetre
192,57.53 centimetre
193,173.67 gram
194,30.64 inch
195,190.61 centimetre
196,56.91 centimetre
197,41.03 kilogram
198,341.38 gram
199,91.37 gram
200,244.98 centimetre
201,13.9 centimetre
202,26.51 centimetre
203,8.87 inch
204,9.49 inch
205,33.05 watt
206,36.8 volt
207,244.98 centimetre
208,285.96 gram
209,68.59 gram
210,13.9 centimetre
211,132.2 gram
212,77.47 centimetre
213,53.32 volt
214,35.41 centimetre
215,50.98 centimetre
216,104.31 volt
217,95.06 watt
218,380.47 gram
