Unnamed: 0,index,prediction
0,0,244.02 centimetre
1,1,69.11 centimetre
2,2,221.75 centimetre
3,3,162.0 centimetre
4,4,43.14 inch
5,5,91.03 inch
6,6,44.87 centimetre
7,7,244.98 centimetre
8,8,17.65 inch
9,9,29.83 centimetre
10,10,360.56 gram
11,11,26.51 centimetre
12,12,14.76 centimetre
13,13,9.99 centimetre
14,14,6.99 centimetre
15,15,360.56 gram
16,16,16.87 kilogram
17,17,448.3 gram
18,18,317.07 watt
19,19,337.02 volt
20,20,26.51 centimetre
21,22,217.97 millilitre
22,23,10.89 centimetre
23,24,33.33 centimetre
24,25,19.77 inch
25,26,81.02 inch
26,27,360.56 gram
27,28,360.56 gram
28,29,262.01 pound
29,30,313.54 gram
30,31,204.15 gram
31,32,4.5 inch
32,33,16.68 inch
33,34,15.65 inch
34,35,357.95 gram
35,36,244.98 centimetre
36,37,96.1 volt
37,38,86.19 watt
38,39,28.46 centimetre
39,40,91.43 centimetre
40,42,4.69 inch
41,43,15.78 inch
42,44,166.87 inch
43,45,9.31 inch
44,46,10.33 inch
45,47,3.96 inch
46,48,35.84 centimetre
47,49,67.25 centimetre
48,50,65.59 centimetre
49,51,360.56 gram
50,52,86.19 watt
51,53,10.88 inch
52,54,10.54 inch
53,55,26.51 centimetre
54,56,360.56 gram
55,57,28.01 centimetre
56,58,92.55 centimetre
57,59,85.55 watt
58,60,96.1 volt
59,61,360.56 gram
60,62,244.98 centimetre
61,63,13.9 centimetre
62,64,26.51 centimetre
63,65,96.1 volt
64,66,362.52 gram
65,67,251.64 centimetre
66,68,6.35 centimetre
67,69,10.18 centimetre
68,70,15.08 centimetre
69,71,16.75 centimetre
70,72,36.4 centimetre
71,73,33.98 centimetre
72,74,87.39 watt
73,75,95.66 volt
74,76,10.11 inch
75,77,9.7 inch
76,78,294.84 gram
77,79,244.98 centimetre
78,81,20.91 kilogram
79,82,67.86 kilogram
80,83,350.1 gram
81,84,9.01 inch
82,85,6.82 centimetre
83,86,8.9 inch
84,87,71.96 watt
85,88,64.98 volt
86,89,116.18 gram
87,90,42.19 centimetre
88,91,18.58 kilogram
89,92,40.02 centimetre
90,93,224.22 centimetre
91,94,352.64 gram
92,95,237.68 centimetre
93,96,25.63 centimetre
94,97,96.1 volt
95,98,120.55 centimetre
96,99,7.6 inch
97,100,88.3 inch
98,101,63.43 millilitre
99,102,86.02 watt
100,103,48.18 centimetre
101,104,109.85 centimetre
102,105,49.75 centimetre
103,106,15.92 centimetre
104,107,21.52 inch
105,108,350.63 gram
106,109,27.83 centimetre
107,110,40.85 centimetre
108,111,466.13 gram
109,112,81.81 watt
110,113,433.7 gram
111,114,367.29 gram
112,115,86.19 watt
113,116,87.05 gram
114,117,356.07 gram
115,118,22.88 centimetre
116,119,13.9 centimetre
117,120,351.58 gram
118,121,13.9 centimetre
119,122,294.75 gram
120,123,16.87 kilogram
121,124,376.35 gram
122,125,360.56 gram
123,126,12.0 volt
124,127,183.49 centimetre
125,128,49.83 centimetre
